"","SchoolNo","z_s09_ELA","z_s09_math","Attendance_0809","FTE08","MEMBER08","PUPTCH08","county.pop","TITLEI08","STITLI08","male","white","sped","frpl","lep","study","trt","N.EXPT","prob"
"1",9,1.05327565357505,-0.28964680328608,-0.102187638458323,-0.940616116950308,-1.04007389679,-0.739861499064882,-0.713805349605097,-1.84015427297776,-1.00099113547736,0.299565377381731,0.670947924655692,0.253195340849706,-0.289409531033264,-0.355639953256037,0,0,1,0.0841995608578825
"2",13,-0.928730548823231,1.15138298688648,1.1653716083554,-0.87135679801769,-0.890139060170659,-0.314998874530752,-0.713805349605097,-1.84015427297776,-1.00099113547736,-0.120393456431039,0.854552722489491,-1.58495592645118,-1.31410861240059,-0.558738239841524,0,0,1,0.0124161277274085
"3",17,0.259918148495743,1.31430406509733,0.0212030846828358,-0.248022927624124,-0.71209144168519,-1.44796587328843,-0.713805349605097,0.54307375891987,-1.00099113547736,-0.445865881681255,0.446998169659193,-0.839591584699884,-0.0399864822790162,1.07046305009393,0,0,1,0.0268613424772415
"4",20,1.44976674427091,1.3722301765128,1.13171959295326,0.868783590164348,0.014155423189747,-1.58958674813314,-0.713805349605097,0.54307375891987,-1.00099113547736,-0.615515616638956,0.732924774328528,-0.666667167351734,-1.35881127667445,-0.336213183630051,0,0,1,0.000345709099201544
"5",25,0.350826095038778,-1.23195425690233,-0.685489238761996,0.522486995501256,-0.135779413429595,-1.37715543586607,-0.713805349605097,0.54307375891987,0.998349997916735,-2.02977623331873,0.616444920608902,-0.870934200166248,-0.194036406296902,0.464877042564153,1,0,1,0.036209882294178
"6",33,-1.46777497850037,0.335644440823807,-1.34731220833729,0.392625772502596,-0.0889247769860506,-1.05850846746548,-0.713805349605097,-1.84015427297776,-1.00099113547736,-0.153384481599147,0.325926413615023,-0.6147705251841,-0.194941976452901,-0.302264479244673,0,0,1,0.0106230537254729
"7",37,0.626625029882186,-0.321546833669578,0.413809931041063,-0.698208500686144,-0.740204223551317,-0.35040409324193,-0.713805349605097,0.54307375891987,0.998349997916735,-0.382260736213412,0.21956057505604,0.00925321029821461,0.723678433733769,-0.465342683529291,0,0,1,0.270500414896297
"8",41,1.14830220891856,0.574439689794614,0.761547423529788,-0.905986457483999,-0.969791942124684,-0.527430186797817,-0.713805349605097,0.54307375891987,-1.00099113547736,-1.11932324771849,0.201382561372277,-0.116911191718923,0.302907940029095,-0.558738239841524,0,0,1,0.0356686537336401
"9",45,2.57518903869654,2.4530711952033,0.985894192877353,-0.161448778958351,-0.0514410678312151,0.286889843559264,-0.713805349605097,-1.84015427297776,-1.00099113547736,1.18430235392862,0.392422071217757,-1.26396711587547,-1.76195445549816,-0.335046086466203,0,0,1,1.03080308583486e-11
"10",46,1.57428606439354,0.994228551681492,1.41215305463772,-0.170106193824928,0.192203041675216,1.03039943649399,0.454425101750117,0.54307375891987,-1.00099113547736,-0.681355585488608,-0.0290577509629164,-0.920649970153845,-1.09837840128671,0.469446763009247,0,0,1,0.000973537860724966
"11",49,-0.142868144053189,0.549355758475914,0.0772897770197232,2.27128479854987,3.50014037458945,1.9509351229846,0.454425101750117,-1.84015427297776,-1.00099113547736,-0.479748616178828,0.718998605354838,-2.12754167870617,-1.63662040212775,-0.526508540046678,0,0,1,0.344349975378357
"12",53,0.909762680164909,2.48701433840464,1.13171959295326,-0.542375033087752,0.168775723453443,2.34039252880755,0.454425101750117,-1.84015427297776,-1.00099113547736,-0.556818942525929,0.675822983419805,-1.84077766525602,-1.5910140189601,-0.533941357538423,0,0,1,8.10591455971186e-07
