SchoolNo,z_s09_ELA,z_s09_math,Attendance_0809,FTE08,MEMBER08,PUPTCH08,county.pop,TITLEI08,STITLI08,male,white,sped,frpl,lep,prob
9,1.053275654,-0.289646803,-0.102187638,-0.940616117,-1.040073897,-0.739861499,-0.71380535,-1.840154273,-1.000991135,0.299565377,0.670947925,0.253195341,-0.289409531,-0.355639953,0.084199561
13,-0.928730549,1.151382987,1.165371608,-0.871356798,-0.89013906,-0.314998875,-0.71380535,-1.840154273,-1.000991135,-0.120393456,0.854552722,-1.584955926,-1.314108612,-0.55873824,0.012416128
17,0.259918148,1.314304065,0.021203085,-0.248022928,-0.712091442,-1.447965873,-0.71380535,0.543073759,-1.000991135,-0.445865882,0.44699817,-0.839591585,-0.039986482,1.07046305,0.026861342
20,1.449766744,1.372230177,1.131719593,0.86878359,0.014155423,-1.589586748,-0.71380535,0.543073759,-1.000991135,-0.615515617,0.732924774,-0.666667167,-1.358811277,-0.336213184,0.000345709
25,0.350826095,-1.231954257,-0.685489239,0.522486996,-0.135779413,-1.377155436,-0.71380535,0.543073759,0.998349998,-2.029776233,0.616444921,-0.8709342,-0.194036406,0.464877043,0.036209882
33,-1.467774979,0.335644441,-1.347312208,0.392625773,-0.088924777,-1.058508467,-0.71380535,-1.840154273,-1.000991135,-0.153384482,0.325926414,-0.614770525,-0.194941976,-0.302264479,0.010623054
37,0.62662503,-0.321546834,0.413809931,-0.698208501,-0.740204224,-0.350404093,-0.71380535,0.543073759,0.998349998,-0.382260736,0.219560575,0.00925321,0.723678434,-0.465342684,0.270500415
41,1.148302209,0.57443969,0.761547424,-0.905986457,-0.969791942,-0.527430187,-0.71380535,0.543073759,-1.000991135,-1.119323248,0.201382561,-0.116911192,0.30290794,-0.55873824,0.035668654
45,2.575189039,2.453071195,0.985894193,-0.161448779,-0.051441068,0.286889844,-0.71380535,-1.840154273,-1.000991135,1.184302354,0.392422071,-1.263967116,-1.761954455,-0.335046086,1.03E-11
46,1.574286064,0.994228552,1.412153055,-0.170106194,0.192203042,1.030399436,0.454425102,0.543073759,-1.000991135,-0.681355585,-0.029057751,-0.92064997,-1.098378401,0.469446763,0.000973538
49,-0.142868144,0.549355758,0.077289777,2.271284799,3.500140375,1.950935123,0.454425102,-1.840154273,-1.000991135,-0.479748616,0.718998605,-2.127541679,-1.636620402,-0.52650854,0.344349975
53,0.90976268,2.487014338,1.131719593,-0.542375033,0.168775723,2.340392529,0.454425102,-1.840154273,-1.000991135,-0.556818943,0.675822983,-1.840777665,-1.591014019,-0.533941358,8.11E-07
63,-0.631880789,1.254637445,0.368940577,0.88609842,1.054328352,0.463915937,0.454425102,-1.840154273,-1.000991135,-0.060739952,0.36775305,-0.544580978,-1.613258988,-0.485518259,0.018953896
64,1.478251537,0.801388318,0.750330085,-0.291310002,-0.065497459,0.640942031,0.454425102,0.543073759,-1.000991135,-0.034059713,0.536125426,-0.185743106,-1.315207454,-0.399461997,0.003488487
67,-0.638257026,1.47323764,0.840068793,1.466145216,2.2725489,1.526072498,0.454425102,0.543073759,-1.000991135,-0.028602896,0.149100053,-1.033879785,-1.495931206,-0.396087508,0.005735282
68,1.314955878,0.347649875,0.896155485,-0.44714347,-0.271657859,0.499321156,0.454425102,0.543073759,-1.000991135,0.304727671,0.353303076,-0.505447144,-1.434720567,-0.335241445,0.024131502
69,0.693988523,-0.563194285,0.436244608,-0.897329043,-1.311830788,-2.049854591,0.454425102,0.543073759,-1.000991135,0.192073333,0.684560125,1.960606679,-1.04887464,-0.55873824,0.168347338
71,1.972707797,0.86713277,1.29997967,-0.308624832,-0.248230541,0.10986375,0.454425102,-1.840154273,-1.000991135,-1.103852646,0.492666648,-0.67090938,-1.75073483,-0.439157016,9.26E-05
72,1.435643769,0.59230405,0.952242177,0.808181686,1.138666698,0.782562906,0.454425102,0.543073759,-1.000991135,-1.257271051,0.115435248,-1.141609063,-1.368632256,-0.309942844,0.007973761
73,-0.072283122,-0.10641478,0.088507115,-1.252283052,-1.33994357,-0.98769803,0.454425102,-1.840154273,-1.000991135,1.570651516,0.849131367,-0.029908627,0.061965288,-0.55873824,0.491717827
77,0.70530368,-0.072799994,0.122159131,-0.784782649,-0.932308233,-0.810671936,0.454425102,0.543073759,0.998349998,0.6783043,-0.91763482,0.477606855,0.45961493,-0.55873824,0.267864576
79,-0.767423821,1.372238761,0.772764762,0.669663048,1.129295771,1.065804655,0.454425102,-1.840154273,-1.000991135,-0.067161739,0.523713098,-1.35713257,-1.732119884,-0.327392627,0.00707776
81,-1.173285208,-0.537382817,0.256767192,1.370913652,1.724349653,0.782562906,0.454425102,-1.840154273,-1.000991135,-0.509450307,0.36753984,-0.648085286,-0.381876645,-0.55873824,0.03453328
83,0.283899057,-1.621434442,0.110941792,-0.152791364,0.089122841,0.676347249,0.454425102,0.543073759,-1.000991135,0.517018132,0.099894031,-0.518256754,-0.038427518,-0.019477289,0.004410851
85,0.454739576,0.949638473,0.402592593,-0.490430544,-0.365367132,0.322295062,0.454425102,-1.840154273,-1.000991135,0.814672927,0.69377879,-0.803743968,-0.682034915,-0.432053179,0.098220337
87,1.621271188,1.028141649,0.537200654,0.254107135,0.763829606,1.278235967,0.454425102,-1.840154273,-1.000991135,-0.291638648,0.411704597,-0.519834782,-1.685404292,-0.293749079,0.000628829
89,1.248040214,0.571733424,0.694243393,0.773552027,1.326085244,1.242830749,0.454425102,0.543073759,-1.000991135,0.161001888,0.615265739,-0.791181719,-1.234513762,-0.258850943,0.022558804
90,-0.853834991,1.097676161,0.660591377,0.981329983,1.377625344,0.888778562,0.454425102,-1.840154273,-1.000991135,0.131978784,0.519091958,-1.186518539,-1.453412795,-0.306864396,0.020479176
92,1.368887333,0.522396112,1.243892978,-0.654921426,-0.430963623,0.676347249,0.454425102,-1.840154273,-1.000991135,-1.349441975,0.457560422,-0.05396771,-1.337231416,-0.55873824,0.013474193
