"","SchoolNo","z_s10_ELA","z_s10_math","z_s09_ELA","z_s09_math","z_f08_ELA","z_f08_math","z_05_ELA","z_05_math","z_06_ELA","z_06_math","z_07_ELA","z_07_math","avg_teach_salary_08","Attendance_0809","Attendance_0708","LATCOD08","LONCOD08","FTE08","MEMBER08","PUPTCH08","ulocal08_dum12","urban08","suburb08","TITLEI08","STITLI08","CHARTR08","study","trt","male","white","sped","frpl","lep","county.pop"
"1","0009",21.5337791442871,17.5580196380615,20.236364364624,16.198169708252,19.7807312011719,18.3720474243164,19.0726413726807,18.2979965209961,19.8297729492188,17.8140335083008,19.973783493042,17.7449035644531,44783,96.29,96,40.8688,-84.9427,17.1,259,15.1,0,0,0,0,0,0,0,0,0.523809552192688,0.944444417953491,0.174603179097176,0.388888895511627,0.0158730167895555,34387
"2","0013",19.472074508667,17.9993896484375,17.5772743225098,17.4788703918457,22.7593059539795,19.3624629974365,21.6346988677979,18.6859474182129,21.8414058685303,18.4341144561768,22.9942398071289,19.205680847168,49024,97.42,97.4,40.745,-84.943,17.9,291,16.3,0,0,0,0,0,0,0,0,0.506896555423737,0.993103444576263,0.0689655169844627,0.162068963050842,0,34387
"3","0017",18.7732543945312,17.5732955932617,19.1719837188721,17.623664855957,21.4749202728271,19.1499977111816,21.0313396453857,19.6128425598145,21.3997783660889,19.0007133483887,22.8081436157227,19.1442737579346,47226,96.4,96.09,40.592,-84.9609,25.1,329,13.1,0,0,0,1,0,0,0,0,0.493788808584213,0.885093152523041,0.111801244318485,0.444099366664886,0.127329185605049,34387
"4","0020",21.7466888427734,17.427001953125,20.7683029174805,17.6751461029053,20.7969131469727,18.8975448608398,20.5104827880859,19.6177101135254,20.8989868164062,18.855131149292,21.5837841033936,18.6798191070557,49024,97.39,97.04,40.745,-84.943,38,484,12.7,0,0,0,1,0,0,0,0,0.486956506967545,0.960869550704956,0.121739126741886,0.152173906564713,0.0173913035541773,34387
"5","0025",20.7626113891602,16.4190673828125,19.2939472198486,15.3607034683228,18.9351100921631,16.379846572876,19.4106330871582,18.0447902679443,18.7863922119141,17.1061897277832,19.1268787384033,17.2358646392822,47226,95.77,95.38,40.6577,-84.9563,34,452,13.3,0,0,0,1,1,0,1,0,0.430000007152557,0.930000007152557,0.109999999403954,0.409999996423721,0.0799999982118607,34387
"6","0033",18.495418548584,17.3018798828125,16.8540840148926,16.7538909912109,21.6202220916748,18.7794704437256,20.3921203613281,17.7747383117676,20.4788341522217,17.5036010742188,21.5009822845459,18.3837242126465,44783,95.18,95.16,40.8266,-84.9353,32.5,462,14.2,0,0,0,0,0,0,0,0,0.505567908287048,0.853006660938263,0.124721601605415,0.409799546003342,0.0200445428490639,34387
"7","0037",20.7797012329102,16.456335067749,19.6639633178711,16.1698188781738,19.5498809814453,18.6121692657471,18.8435001373291,18.2228298187256,19.6067790985107,18.300085067749,20.1133365631104,18.006628036499,44783,96.75,96.07,40.8361,-84.9355,19.9,323,16.2,0,0,0,1,1,0,0,0,0.49635037779808,0.824817538261414,0.160583943128586,0.613138675689697,0.00729927001520991,34387
"8","0041",21.3400573730469,16.674840927124,20.3638534545898,16.9661178588867,20.2875308990479,19.0175266265869,19.4723320007324,18.5510444641113,19.9985294342041,18.2609806060791,20.7278461456299,18.1943588256836,44783,97.06,96.4,40.8206,-84.9236,17.5,274,15.7,0,0,0,1,0,0,0,0,0.466666668653488,0.819999992847443,0.153333336114883,0.519999980926514,0,34387
"9","0045",23.3400955200195,18.2956771850586,22.2781867980957,18.6357326507568,22.2265529632568,20.1110343933105,21.5615863800049,20.5675411224365,21.9313793182373,19.9450054168701,23.1237983703613,20.3410224914551,49640,97.26,97.07,41.0395,-85.2863,26.1,470,18,0,0,1,0,0,0,0,0,0.559440553188324,0.870629370212555,0.0874125882983208,0.0629370659589767,0.0174825172871351,34387
"10","0046",22.0524272918701,17.2391090393066,20.935359954834,17.3392009735107,20.766414642334,18.9222412109375,20.4060668945312,19.899450302124,20.9192790985107,19.4349212646484,21.6906280517578,19.2892074584961,49640,97.64,97.21,41.0791,-85.2563,26,522,20.1,0,1,0,1,0,0,0,0,0.484304934740067,0.758928596973419,0.107142858207226,0.209821432828903,0.0803571417927742,355329
"11","0049",19.6389560699463,16.7928276062012,18.6315994262695,16.9438247680664,22.8507919311523,19.2689590454102,21.2556571960449,17.7227001190186,20.9876117706299,17.3777599334717,21.5330123901367,18.15016746521,49974,96.45,96.3,41.2201,-85.0189,54.2,1228,22.7,0,0,1,0,0,0,0,0,0.492424249649048,0.957178831100464,0.0377833768725395,0.0906801000237465,0.00251889158971608,355329
"12","0053",21.5017585754395,18.7582550048828,20.0438251495361,18.6658992767334,22.6908874511719,20.681941986084,21.9946269989014,20.9024429321289,22.6725463867188,20.3148307800293,23.6767463684082,20.8373184204102,49974,97.39,97.02,41.2223,-85.0124,21.7,517,23.8,0,0,1,0,0,0,0,0,0.489320397377014,0.945736408233643,0.0542635656893253,0.100775197148323,0.00193798448890448,355329
